Rank,City Council District,Percent of street miles with a protected bike lane
"1","District 3","0.1974868483627038"
"2","District 2","0.1664364702640516"
"3","District 4","0.1334139215379711"
"4","District 5","0.131842532386316"
"5","District 6","0.0978607403633262"
"6","District 1","0.0918960576288512"
"7","District 26","0.0814570052603358"
"8","District 33","0.0809503806400524"
"9","District 15","0.0663618992256784"
"10","District 38","0.0548691182081833"
"11","District 14","0.0492580883975308"
"12","District 39","0.049249283721896"
"13","District 8","0.046924803805052"
"14","District 16","0.034540183565128"
"15","District 29","0.0315588835068423"
"16","District 10","0.0309218769078354"
"17","District 42","0.0302235459393262"
"18","District 7","0.029287020961624"
"19","District 22","0.0254503986486274"
"20","District 11","0.0224463565132387"
"21","District 30","0.0219927978271286"
"22","District 34","0.02128880776831"
"23","District 32","0.0194783631115244"
"24","District 35","0.0179700061067303"
"25","District 17","0.017432351453781"
"26","District 18","0.0172326752975896"
"27","District 24","0.0160891675111321"
"28","District 12","0.0153643223038708"
"29","District 46","0.012463518537616"
"30","District 31","0.0124595894880274"
"31","District 36","0.0118790905740554"
"32","District 47","0.0111081179923482"
"33","District 23","0.0103241780477416"
"34","District 48","0.0095847339198739"
"35","District 40","0.0093429827778756"
"36","District 25","0.0089951287135215"
"37","District 9","0.0083229720650359"
"38","District 13","0.006970768725225"
"39","District 50","0.0064885131023621"
"40","District 41","0.0059740281761871"
"41","District 21","0.0058670510930279"
"42","District 37","0.0055293885622085"
"43","District 19","0.0044274804158368"
"44","District 49","0.0035228171350697"
"45","District 20","0.0020910148483192"
"51","District 27","0"
"51","District 28","0"
"51","District 43","0"
"51","District 44","0"
"51","District 45","0"
"51","District 51","0"
