Rank	District	Representative	District Value
1	District 4	Virginia Maloney	$173,562
2	District 6	Gale A. Brewer	$163,500
3	District 39	Shahana Hanif	$157,163
4	District 33	Lincoln Restler	$151,817
5	District 5	Speaker Julie Menin	$148,154
6	District 3	Vacant	$142,089
7	District 1	Christopher Marte	$132,951
8	District 2	Harvey Epstein	$123,996
9	District 35	Crystal Hudson	$116,959
10	District 51	Frank Morano	$113,697
11	District 50	David Carr	$104,269
12	District 19	Vickie Paladino	$100,875
13	District 34	Jennifer Gutiérrez	$100,504
14	District 29	Lynn Schulman	$100,481
15	District 23	Linda Lee	$100,051
16	District 26	Julie Won	$98,322
17	District 22	Tiffany Cabán	$97,819
18	District 32	Joann Ariola	$94,399
19	District 46	Mercedes Narcisse	$92,189
20	District 27	Deputy Speaker Dr. Nantasha Williams	$90,835
21	District 7	Majority Leader Shaun Abreu	$90,629
22	District 30	Phil Wong	$90,256
23	District 28	Tyrell "Ty" Hankerson	$87,218
24	District 31	Selvena N. Brooks-Powers	$86,467
25	District 24	James F. Gennaro	$85,198
26	District 40	Rita Joseph	$84,885
27	District 36	Chi Ossé	$84,875
28	District 49	Kamillah Hanks	$82,935
29	District 45	Farah N. Louis	$82,416
30	District 38	Alexa Avilés	$79,926
31	District 13	Shirley Aldebol	$77,819
32	District 11	Eric Dinowitz	$77,003
33	District 47	Kayla Santosuosso	$75,994
34	District 25	Shekar Krishnan	$75,815
35	District 21	Shanel Thomas-Henry	$75,317
36	District 37	Sandy Nurse	$73,891
37	District 10	Carmen De La Rosa	$71,086
38	District 43	Susan Zhuang	$68,063
39	District 44	Simcha Felder	$67,324
40	District 48	Inna Vernikov	$65,869
41	District 12	Kevin C. Riley	$64,574
42	District 20	Sandra Ung	$62,915
43	District 9	Yusef Salaam	$60,175
44	District 42	Chris Banks	$58,070
45	District 41	Darlene Mealy	$57,065
46	District 18	Amanda Farías	$54,706
47	District 8	Elsie Encarnacion	$44,538
48	District 16	Althea Stevens	$41,697
49	District 14	Pierina Ana Sanchez	$41,671
50	District 15	Oswald Feliz	$38,604
51	District 17	Justin Sanchez	$36,192
